area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,total_sqft_clean,price_per_sqft,crime_rate,entertainment_centers,restaurant_count,crime_score,entertainment_score,restaurant_score,distance_to_center,proximity_score,room_density,popularity_score,volatility_score
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,2.0,970.0,3402.061855670103,2.0111722323411323,9,10,7.988810259678707,10.0,2.0408163265306123,5.397025953714566,5.8375908355149475,242.5,0.5576208178438662,16.99084239148883
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,2.0,1459.0,6498.971898560658,2.2504818508998934,5,11,7.749498557843343,5.555555555555555,2.2448979591836733,1.8365025034994318,8.58361347217452,364.75,10.0,140.5804683445764
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,800,1.0,1.0,130.0,2.0,800.0,16250.0,5.8246159136996845,7,21,4.175333380916547,7.777777777777778,4.285714285714286,3.9673726639594435,6.940198457999553,266.6666666666667,1.6914498141263938,81.37227881516316
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,,869,2.0,1.0,36.0,2.0,869.0,4142.692750287687,4.372648547288289,4,25,5.6273133872279155,4.444444444444445,5.1020408163265305,3.9673726639594435,6.940198457999553,217.25,0.055762081784386616,81.7333061446393
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,2.0,1270.0,3937.0078740157483,6.329832221016799,8,9,3.6701126755091336,8.88888888888889,1.836734693877551,5.397025953714566,5.8375908355149475,317.5,0.018587360594795536,0.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,3.0,1670.0,5928.143712574851,4.124779535419191,6,42,5.875184556886225,6.666666666666666,8.571428571428571,2.674899739877527,7.937006920694576,278.3333333333333,0.9293680297397768,33.68134961181735
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,3.0,2010.0,4527.363184079602,9.212534337856372,9,13,0.7873854637071995,10.0,2.653061224489796,1.8365025034994318,8.58361347217452,335.0,10.0,140.5804683445764
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,2.0,1185.0,6329.113924050633,6.901762318309246,5,32,3.098177599358767,5.555555555555555,6.530612244897958,2.0958835991646647,8.383568065880326,296.25,0.6691449814126393,32.048314221569356
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,3.0,1600.0,4687.5,6.447502190723044,2,34,3.552441681443333,2.2222222222222223,6.938775510204081,8.385304790667908,3.532906862592708,320.0,3.940520446096654,74.4198209277083
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,2.0,1200.0,3666.6666666666665,6.625087678596834,1,41,3.374854647623776,1.1111111111111112,8.36734693877551,8.385304790667908,3.532906862592708,300.0,1.5613382899628254,27.39721242353014
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,2.0,0.0,192.0,4.0,3210.0,5981.308411214954,2.2464505528941983,3,23,7.753529890942943,3.333333333333333,4.6938775510204085,11.43300628590238,1.1823936830799007,535.0,0.7992565055762081,137.23872418154377
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,2.0,1500.0,12333.333333333334,2.124018885196805,3,14,7.875962624452192,3.333333333333333,2.8571428571428568,9.905124481433225,2.3607591902524674,375.0,0.13011152416356878,879.0897619263972
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,,1407,4.0,1.0,150.0,6.0,1407.0,10660.980810234541,6.876278560305733,8,12,3.123661579207591,8.88888888888889,2.4489795918367347,8.385304790667908,3.532906862592708,140.7,0.26022304832713755,67.64240168337095
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,,840,2.0,2.0,45.0,2.0,840.0,5357.142857142857,4.448546023658947,1,23,5.551415250142333,1.1111111111111112,4.6938775510204085,2.674899739877527,7.937006920694576,210.0,0.03717472118959107,229.80970388562795
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,,4395,3.0,2.0,240.0,3.0,4395.0,5460.750853242321,5.379907342545247,1,32,4.620045823419603,1.1111111111111112,6.530612244897958,12.966111067993126,0.0,732.5,0.018587360594795536,0.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,2.0,845.0,6508.87573964497,4.498923516266204,8,21,5.5010373189808215,8.88888888888889,4.285714285714286,2.0958835991646647,8.383568065880326,211.25,0.1858736059479554,22.58342558406743
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Chranya,5700,5.0,3.0,650.0,4.0,5700.0,11403.508771929824,5.318752549853814,4,29,4.681201148485578,4.444444444444445,5.918367346938775,1.8365025034994318,8.58361347217452,633.3333333333334,10.0,140.5804683445764
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,2.0,1160.0,3793.103448275862,5.448907728702802,3,20,4.551044836588782,3.333333333333333,4.081632653061225,5.397025953714566,5.8375908355149475,290.0,1.3011152416356877,45.136053157052544
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,,3000,8.0,0.0,140.0,8.0,3000.0,4666.666666666667,3.21118356618377,9,14,6.788788479304295,10.0,2.8571428571428568,12.966111067993126,0.0,187.5,0.6505576208178439,27.58439184476211
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,,1100,2.0,1.0,62.0,2.0,1100.0,5636.363636363636,3.513392538512549,8,12,6.486576876137339,8.88888888888889,2.4489795918367347,5.397025953714566,5.8375908355149475,275.0,0.5576208178438662,16.99084239148883
Super built-up  Area,18-Apr,Gunjur,2 BHK,BMineis,1140,2.0,3.0,43.0,2.0,1140.0,3771.9298245614036,2.529713557313671,7,41,7.47026442061678,7.777777777777778,8.36734693877551,2.674899739877527,7.937006920694576,285.0,0.40892193308550184,190.69361858444864
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0,2.0,1220.0,4672.131147540984,3.5990393933576206,6,32,6.400929275705484,6.666666666666666,6.530612244897958,1.8365025034994318,8.58361347217452,305.0,3.2527881040892193,72.43357269502987
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,,1350,7.0,0.0,85.0,8.0,1350.0,6296.2962962962965,4.37812956360283,1,7,5.6218323231991505,1.1111111111111112,1.4285714285714284,12.966111067993126,0.0,90.0,0.3159851301115241,31.163114508700076
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1005,2.0,1.0,36.68,2.0,1005.0,3649.7512437810947,2.2894570594200845,4,27,7.710523010029895,4.444444444444445,5.5102040816326525,3.9673726639594435,6.940198457999553,251.25,5.037174721189591,35.8270464960869
Plot  Area,Ready To Move,Double Road,3 Bedroom,,500,3.0,2.0,100.0,3.0,500.0,20000.0,3.6160744272297842,7,12,6.383894093537201,7.777777777777778,2.4489795918367347,1.8365025034994318,8.58361347217452,83.33333333333333,0.018587360594795536,0.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,Pruthg ,1358,2.0,1.0,80.58,2.0,1358.0,5933.726067746687,9.235140492289261,9,6,0.7647791124795768,10.0,1.2244897959183674,8.385304790667908,3.532906862592708,339.5,1.5613382899628254,27.39721242353014
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Sonosty,1569,3.0,1.0,101.0,3.0,1569.0,6437.221159974506,2.7468868778739415,7,49,7.253089209484371,7.777777777777778,10.0,5.397025953714566,5.8375908355149475,261.5,0.9107806691449815,85.59436534259346
Super built-up  Area,18-Apr,Haralur Road,2 BHK,SNnia E,1240,2.0,1.0,70.0,2.0,1240.0,5645.1612903225805,5.897589684910909,4,48,4.102358974442307,4.444444444444445,9.795918367346939,8.385304790667908,3.532906862592708,310.0,2.639405204460967,55.6771770505317
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Anavi B,2089,3.0,2.0,140.0,3.0,2089.0,6701.771182383915,8.658679847696304,2,16,1.3412447753705037,2.2222222222222223,3.265306122448979,9.905124481433225,2.3607591902524674,348.1666666666667,2.825278810408922,74.25003377258962
Super built-up  Area,Ready To Move,Kothannur,2 BHK,,1206,2.0,1.0,48.23,2.0,1206.0,3999.1708126036483,2.180227461501813,4,42,7.8197535588312395,4.444444444444445,8.571428571428571,3.9673726639594435,6.940198457999553,301.5,0.483271375464684,30.185590777975253
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,,1150,2.0,3.0,40.0,2.0,1150.0,3478.2608695652175,2.79772611792641,8,41,7.202249526857969,8.88888888888889,8.36734693877551,6.878873032442892,4.694729208803859,287.5,0.6133828996282529,39.13288356047349
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Viony H,2511,3.0,3.0,205.0,3.0,2511.0,8164.078056551175,4.555749538977245,5,17,5.444210801578743,5.555555555555555,3.4693877551020407,2.674899739877527,7.937006920694576,418.5,0.13011152416356878,340.37619244146964
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,,460,1.0,0.0,22.0,2.0,460.0,4782.608695652174,5.045601221538847,2,8,4.954354854681445,2.2222222222222223,1.6326530612244896,3.9673726639594435,6.940198457999553,153.33333333333334,0.40892193308550184,36.011121418262796
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,,4400,6.0,3.0,250.0,6.0,4400.0,5681.818181818182,3.413861276790395,2,48,6.586109004315049,2.2222222222222223,9.795918367346939,2.0958835991646647,8.383568065880326,366.6666666666667,0.241635687732342,82.11132218378431
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,AdentEl,1660,2.0,2.0,105.0,3.0,1660.0,6325.301204819277,6.290169990955626,7,5,3.709775250844335,7.777777777777778,1.0204081632653061,8.385304790667908,3.532906862592708,332.0,0.018587360594795536,0.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Gollela,2957 - 3450,2.0,0.0,224.5,4.0,3203.5,7007.960043702201,4.888326727062708,7,5,5.111630718288822,7.777777777777778,1.0204081632653061,9.905124481433225,2.3607591902524674,533.9166666666666,2.825278810408922,74.25003377258962
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Niareum,1326,2.0,2.0,78.0,2.0,1326.0,5882.35294117647,9.83469178941964,7,48,0.16522259603876435,7.777777777777778,9.795918367346939,8.385304790667908,3.532906862592708,331.5,3.940520446096654,74.4198209277083
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,,1325,2.0,2.0,60.8,3.0,1325.0,4588.679245283019,5.47816951542938,4,39,4.521782795127789,4.444444444444445,7.959183673469388,8.385304790667908,3.532906862592708,265.0,0.33457249070631967,84.01058993508991
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,SJlynro,1499,5.0,2.0,102.0,3.0,1499.0,6804.536357571715,4.183425055928561,6,28,5.816538525846432,6.666666666666666,5.7142857142857135,8.385304790667908,3.532906862592708,187.375,0.4275092936802974,58.278573110487756
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,,3000,7.0,2.0,210.0,6.0,3000.0,7000.0,7.315831116612468,8,19,2.684105196437208,8.88888888888889,3.877551020408163,5.397025953714566,5.8375908355149475,230.76923076923077,0.9107806691449815,85.59436534259346
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1665,3.0,2.0,88.0,3.0,1665.0,5285.285285285286,5.140069409182654,1,33,4.859885844657969,1.1111111111111112,6.73469387755102,3.9673726639594435,6.940198457999553,277.5,5.037174721189591,35.8270464960869
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Tavenew,708,2.0,2.0,37.0,2.0,708.0,5225.988700564972,2.031660856387454,3,48,7.968321457271518,3.333333333333333,9.795918367346939,9.905124481433225,2.3607591902524674,177.0,0.2973977695167286,19.283989808041973
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Srire S,1060,2.0,2.0,58.06,2.0,1060.0,5477.358490566037,4.039334244797775,6,11,5.960630591339734,6.666666666666666,2.2448979591836733,11.43300628590238,1.1823936830799007,265.0,1.4684014869888475,138.7217119406531
Plot  Area,Ready To Move,Rajaji Nagar,6 Bedroom,,710,6.0,3.0,160.0,6.0,710.0,22535.211267605635,3.1674948632118998,7,9,6.832477562602094,7.777777777777778,1.836734693877551,12.966111067993126,0.0,59.166666666666664,1.9888475836431228,316.80699925685724
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,Saenti ,1000,2.0,2.0,70.0,2.0,1000.0,7000.0,6.136802890977813,3,24,3.8631436859381068,3.333333333333333,4.8979591836734695,8.385304790667908,3.532906862592708,250.0,0.3717472118959108,90.22219589202507
Super built-up  Area,18-Dec,Electronic City,2 BHK,,1000,2.0,1.0,28.88,2.0,1000.0,2888.0,4.443239240930164,2,12,5.556722079068575,2.2222222222222223,2.4489795918367347,2.0958835991646647,8.383568065880326,250.0,5.650557620817844,46.68988288633367
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,,1450,2.0,2.0,70.0,3.0,1450.0,4827.586206896552,8.385763719034045,2,21,1.6141632798661634,2.2222222222222223,4.285714285714286,9.905124481433225,2.3607591902524674,290.0,0.07434944237918215,23.27507608294045
Plot  Area,Ready To Move,ISRO Layout,4 Bedroom,,1200,4.0,2.0,155.0,4.0,1200.0,12916.666666666666,9.39605418692547,9,20,0.6038640170315787,10.0,4.081632653061225,2.0958835991646647,8.383568065880326,150.0,0.241635687732342,82.11132218378431
Super built-up  Area,17-Aug,Thanisandra,2 BHK,Bhmesy ,1296,2.0,3.0,80.0,2.0,1296.0,6172.83950617284,9.209919250017645,1,34,0.79000057431121,1.1111111111111112,6.938775510204081,2.674899739877527,7.937006920694576,324.0,4.386617100371748,42.75395401834816
Super built-up  Area,Ready To Move,Domlur,3 BHK,,1540,3.0,2.0,90.0,3.0,1540.0,5844.1558441558445,9.548810701182015,6,39,0.45110617297444366,6.666666666666666,7.959183673469388,5.397025953714566,5.8375908355149475,256.6666666666667,0.40892193308550184,117.91075390924227
Plot  Area,Ready To Move,Kengeri,4 Bedroom,Goardth,2894,4.0,1.0,245.0,4.0,2894.0,8465.791292328957,9.012768437994824,6,49,0.987153102603006,6.666666666666666,10.0,1.8365025034994318,8.58361347217452,361.75,1.3382899628252787,73.76840964664873
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1330,2.0,1.0,48.0,3.0,1330.0,3609.0225563909776,2.1554866090612226,7,26,7.8444946266498805,7.777777777777778,5.306122448979592,12.966111067993126,0.0,266.0,0.3159851301115241,84.86358052780945
